#, movie, href, total gross, opening, opening daily avg, release date
"1", "Jurassic World (Universal)", "/statistics/movies/jurassic-park-4-2014", "$616,902,775", "$208,806,270", "$69,602,090", "Jun 12, 2015"
"2", "Avengers: Age of Ultron (Disney)", "/statistics/movies/untitled-marvels-avengers-sequel-2015", "$456,282,828", "$191,271,109", "$63,757,036", "May 01, 2015"
"3", "Furious 7 (Universal)", "/statistics/movies/fast-furious-7-2014", "$351,032,910", "$147,187,040", "$49,062,347", "Apr 03, 2015"
"4", "Inside Out (2015) (Disney)", "/statistics/movies/untitled-pixar-movie-that-takes-you-2015", "$312,978,811", "$90,440,272", "$30,146,757", "Jun 19, 2015"
"5", "Minions (Universal)", "/statistics/movies/untitled-minions-project-in-3d-2014", "$239,520,410", "$115,718,405", "$38,572,802", "Jul 10, 2015"
"6", "Cinderella (2015) (Disney)", "/statistics/movies/cinderella-2015-2015", "$200,849,342", "$67,877,361", "$22,625,787", "Mar 13, 2015"
"7", "Pitch Perfect 2 (Universal)", "/statistics/movies/pitch-perfect-2-2014", "$183,560,925", "$69,216,890", "$23,072,297", "May 15, 2015"
"8", "Home (2015) (Fox / DreamWorks Animation)", "/statistics/movies/happy-smekday-2014", "$176,408,583", "$52,107,731", "$17,369,244", "Mar 27, 2015"
"9", "Fifty Shades of Grey (Universal / Focus)", "/statistics/movies/fifty-shades-of-grey-2014", "$166,167,230", "$85,171,450", "$28,390,483", "Feb 13, 2015"
"10", "The SpongeBob Movie: Sponge Out of Water (Paramount)", "/statistics/movies/spongebob-squarepants-2-2015", "$162,994,032", "$55,365,012", "$18,455,004", "Feb 06, 2015"
"11", "San Andreas (Warner Bros. / New Line)", "/statistics/movies/san-andreas-2015", "$151,551,731", "$54,588,173", "$18,196,058", "May 29, 2015"
"12", "Mad Max: Fury Road (Warner Bros.)", "/statistics/movies/mad-max-fury-road-2015", "$151,204,106", "$45,428,128", "$15,142,709", "May 15, 2015"
"13", "The Divergent Series: Insurgent (Lionsgate / Summit)", "/statistics/movies/insurgent-2015", "$130,179,072", "$52,263,680", "$17,421,227", "Mar 20, 2015"
"14", "Kingsman: The Secret Service (Fox)", "/statistics/movies/the-secret-service-2014", "$128,261,724", "$36,206,331", "$12,068,777", "Feb 13, 2015"
"15", "Spy (2015) (Fox)", "/statistics/movies/susan-cooper-2015", "$107,339,775", "$29,085,719", "$9,695,240", "Jun 05, 2015"
"16", "Tomorrowland (Disney)", "/statistics/movies/1952-2014", "$91,755,697", "$33,028,165", "$11,009,388", "May 22, 2015"
"17", "Get Hard (Warner Bros.)", "/statistics/movies/get-hard-2015", "$90,411,453", "$33,803,253", "$11,267,751", "Mar 27, 2015"
"18", "Taken 3 (Fox)", "/statistics/movies/taken-3-2015", "$89,256,424", "$39,201,657", "$13,067,219", "Jan 09, 2015"
