#, movie, href, total gross, opening, opening daily avg, release date
"1", "The Dark Knight (Warner Bros.)", "/statistics/movies/the-dark-knight-2008", "$534,858,444", "$158,412,607", "$52,804,202", "Jul 18, 2008"
"2", "Iron Man (Paramount)", "/statistics/movies/iron-man-2008", "$318,412,855", "$98,619,778", "$32,873,259", "May 02, 2008"
"3", "Indiana Jones and the Kingdom of the Crystal Skull (Paramount)", "/statistics/movies/indiana-jones-and-the-kingdom-of-the-crystal-skull-2008", "$317,101,243", "$100,137,761", "$33,379,254", "May 22, 2008"
"4", "Hancock (Sony / Columbia)", "/statistics/movies/hancock-2008", "$227,946,076", "$62,603,459", "$20,867,820", "Jul 02, 2008"
"5", "WALL-E (Disney)", "/statistics/movies/wall-e-2008", "$223,808,838", "$63,088,057", "$21,029,352", "Jun 27, 2008"
"6", "Kung Fu Panda (Paramount / DreamWorks)", "/statistics/movies/kung-fu-panda-2008", "$215,434,591", "$60,238,641", "$20,079,547", "Jun 06, 2008"
"7", "Twilight (2008) (Summit)", "/statistics/movies/twilight-2008", "$192,769,480", "$69,638,708", "$23,212,903", "Nov 21, 2008"
"8", "Madagascar: Escape 2 Africa (Paramount / DreamWorks)", "/statistics/movies/madagascar-escape-2-africa-2008", "$180,010,757", "$63,107,303", "$21,035,768", "Nov 07, 2008"
"9", "Quantum of Solace (Sony / Columbia)", "/statistics/movies/quantum-of-solace-2008", "$168,365,396", "$67,529,494", "$22,509,831", "Nov 14, 2008"
"10", "Dr. Seuss' Horton Hears a Who! (Fox)", "/statistics/movies/dr-seuss-horton-hears-a-who-2008", "$154,529,598", "$45,012,336", "$15,004,112", "Mar 14, 2008"
"11", "Sex and the City (Warner Bros. / New Line)", "/statistics/movies/sex-and-the-city-2008", "$152,647,295", "$57,037,361", "$19,012,454", "May 30, 2008"
"12", "Gran Torino (Warner Bros.)", "/statistics/movies/gran-torino-2008", "$148,095,382", "$29,484,234", "$9,828,078", "Dec 12, 2008"
"13", "Mamma Mia! (Universal)", "/statistics/movies/mamma-mia-2008", "$144,130,725", "$27,751,202", "$9,250,401", "Jul 18, 2008"
"14", "Marley & Me (Fox)", "/statistics/movies/marley-and-me-2008", "$143,153,015", "$36,357,229", "$12,119,076", "Dec 25, 2008"
"15", "The Chronicles of Narnia: Prince Caspian (Disney)", "/statistics/movies/the-chronicles-of-narnia-prince-caspian-2008", "$141,621,918", "$55,034,128", "$18,344,709", "May 16, 2008"
"16", "Slumdog Millionaire (Fox Searchlight)", "/statistics/movies/slumdog-millionaire-2008", "$141,319,441", "$360,254", "$120,085", "Nov 12, 2008"
"17", "The Incredible Hulk (Universal)", "/statistics/movies/the-incredible-hulk-2008", "$134,806,396", "$55,414,060", "$18,471,353", "Jun 13, 2008"
"18", "Wanted (2008) (Universal)", "/statistics/movies/wanted-2008", "$134,508,730", "$50,926,567", "$16,975,522", "Jun 27, 2008"
"19", "Get Smart (Warner Bros.)", "/statistics/movies/get-smart-2008", "$130,319,504", "$38,683,850", "$12,894,617", "Jun 20, 2008"
"20", "The Curious Case of Benjamin Button (Paramount)", "/statistics/movies/the-curious-case-of-benjamin-button-2008", "$127,509,575", "$26,853,287", "$8,951,096", "Dec 25, 2008"
"21", "Four Christmases (Warner Bros. / New Line)", "/statistics/movies/four-christmases-2008", "$120,146,737", "$31,070,453", "$10,356,818", "Nov 26, 2008"
"22", "Bolt (Disney)", "/statistics/movies/bolt-2008", "$114,051,154", "$26,223,801", "$8,741,267", "Nov 21, 2008"
"23", "Tropic Thunder (Paramount / DreamWorks)", "/statistics/movies/tropic-thunder-2008", "$110,515,566", "$25,812,398", "$8,604,133", "Aug 13, 2008"
"24", "Bedtime Stories (Disney)", "/statistics/movies/bedtime-stories-2008", "$110,103,441", "$27,449,387", "$9,149,796", "Dec 25, 2008"
"25", "The Mummy: Tomb of the Dragon Emperor (Universal)", "/statistics/movies/the-mummy-tomb-of-the-dragon-emperor-2008", "$102,491,956", "$40,458,735", "$13,486,245", "Aug 01, 2008"
"26", "Journey to the Center of the Earth (Warner Bros. / New Line)", "/statistics/movies/journey-to-the-center-of-the-earth-2008", "$101,704,710", "$21,019,254", "$7,006,418", "Jul 11, 2008"
"27", "Eagle Eye (Paramount / DreamWorks)", "/statistics/movies/eagle-eye-2008", "$101,440,408", "$29,150,801", "$9,716,934", "Sep 26, 2008"
"28", "Step Brothers (Sony / Columbia)", "/statistics/movies/step-brothers-2008", "$100,468,110", "$30,939,716", "$10,313,239", "Jul 25, 2008"
"29", "You Don't Mess with the Zohan (Sony / Columbia)", "/statistics/movies/you-don-t-mess-with-the-zohan-2008", "$100,018,509", "$38,531,205", "$12,843,735", "Jun 06, 2008"
"30", "Yes Man (Warner Bros.)", "/statistics/movies/yes-man-2008", "$97,690,540", "$18,264,206", "$6,088,069", "Dec 19, 2008"
"31", "10,000 B.C. (Warner Bros.)", "/statistics/movies/10-000-b-c-2008", "$94,784,291", "$35,867,454", "$11,955,818", "Mar 07, 2008"
"32", "Beverly Hills Chihuahua (Disney)", "/statistics/movies/beverly-hills-chihuahua-2008", "$94,516,544", "$29,301,563", "$9,767,188", "Oct 03, 2008"
"33", "High School Musical 3: Senior Year (Disney)", "/statistics/movies/high-school-musical-3-senior-year-2008", "$90,553,861", "$42,029,346", "$14,009,782", "Oct 24, 2008"
"34", "Pineapple Express (Sony / Columbia)", "/statistics/movies/pineapple-express-2008", "$87,341,257", "$23,245,163", "$7,748,388", "Aug 06, 2008"
"35", "Valkyrie (MGM / United Artists)", "/statistics/movies/valkyrie-2008", "$83,077,158", "$21,027,365", "$7,009,122", "Dec 25, 2008"
"36", "21 (Sony / Columbia)", "/statistics/movies/21-2008", "$81,159,618", "$24,107,135", "$8,035,712", "Mar 28, 2008"
"37", "What Happens in Vegas (Fox)", "/statistics/movies/what-happens-in-vegas-2008", "$80,277,334", "$20,172,856", "$6,724,285", "May 09, 2008"
"38", "Jumper (Fox)", "/statistics/movies/jumper-2008", "$80,172,510", "$27,355,142", "$9,118,381", "Feb 14, 2008"
"39", "Cloverfield (Paramount)", "/statistics/movies/cloverfield-2008", "$80,048,167", "$40,058,396", "$13,352,799", "Jan 18, 2008"
"40", "The Day the Earth Stood Still (2008) (Fox)", "/statistics/movies/the-day-the-earth-stood-still-2008-2008", "$79,366,710", "$30,479,329", "$10,159,776", "Dec 12, 2008"
"41", "27 Dresses (Fox)", "/statistics/movies/27-dresses-2008", "$76,808,359", "$23,007,500", "$7,669,167", "Jan 18, 2008"
"42", "Hellboy II: The Golden Army (Universal)", "/statistics/movies/hellboy-ii-the-golden-army-2008", "$75,986,776", "$34,539,148", "$11,513,049", "Jul 11, 2008"
"43", "Vantage Point (Sony / Columbia)", "/statistics/movies/vantage-point-2008", "$72,266,886", "$22,874,528", "$7,624,843", "Feb 22, 2008"
"44", "The Spiderwick Chronicles (Paramount)", "/statistics/movies/the-spiderwick-chronicles-2008", "$71,195,761", "$19,004,036", "$6,334,679", "Feb 14, 2008"
"45", "Fool's Gold (Warner Bros.)", "/statistics/movies/fool-s-gold-2008", "$70,231,612", "$21,589,047", "$7,196,349", "Feb 08, 2008"
"46", "Seven Pounds (Sony / Columbia)", "/statistics/movies/seven-pounds-2008", "$69,951,775", "$14,850,420", "$4,950,140", "Dec 19, 2008"
"47", "Role Models (Universal)", "/statistics/movies/role-models-2008", "$67,294,665", "$19,166,143", "$6,388,714", "Nov 07, 2008"
"48", "Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour (Disney)", "/statistics/movies/hannah-montana-miley-cyrus-best-of-both-worlds-concert-tour-2008", "$65,281,220", "$31,116,780", "$10,372,260", "Feb 01, 2008"
"49", "The Happening (Fox)", "/statistics/movies/the-happening-2008", "$64,506,523", "$30,515,876", "$10,171,959", "Jun 13, 2008"
