#, movie, href, total gross, opening, opening daily avg, release date
"1", "Spider-Man 3 (Sony / Columbia)", "/statistics/movies/spider-man-3-2007", "$336,530,590", "$151,115,793", "$50,371,931", "May 04, 2007"
"2", "Shrek the Third (Paramount / DreamWorks)", "/statistics/movies/shrek-the-third-2007", "$322,719,455", "$121,629,042", "$40,543,014", "May 18, 2007"
"3", "Transformers (Paramount / DreamWorks)", "/statistics/movies/transformers-2007", "$319,246,139", "$70,502,462", "$23,500,821", "Jul 03, 2007"
"4", "Pirates of the Caribbean: At World's End (Disney)", "/statistics/movies/pirates-of-the-caribbean-at-world-s-end-2007", "$309,420,379", "$114,733,683", "$38,244,561", "May 25, 2007"
"5", "Harry Potter and the Order of the Phoenix (Warner Bros.)", "/statistics/movies/harry-potter-and-the-order-of-the-phoenix-2007", "$292,004,517", "$77,107,180", "$25,702,393", "Jul 11, 2007"
"6", "I Am Legend (Warner Bros.)", "/statistics/movies/i-am-legend-2007", "$256,393,949", "$77,211,710", "$25,737,237", "Dec 14, 2007"
"7", "The Bourne Ultimatum (Universal)", "/statistics/movies/the-bourne-ultimatum-2007", "$227,471,923", "$69,283,524", "$23,094,508", "Aug 03, 2007"
"8", "National Treasure: Book of Secrets (Disney)", "/statistics/movies/national-treasure-book-of-secrets-2007", "$219,964,410", "$44,783,411", "$14,927,804", "Dec 21, 2007"
"9", "Alvin and the Chipmunks (Fox)", "/statistics/movies/alvin-and-the-chipmunks-2007", "$217,326,629", "$44,306,904", "$14,768,968", "Dec 14, 2007"
"10", "300 (Warner Bros.)", "/statistics/movies/300-2007", "$210,614,690", "$70,884,598", "$23,628,199", "Mar 09, 2007"
"11", "Ratatouille (Disney)", "/statistics/movies/ratatouille-2007", "$206,445,374", "$47,027,687", "$15,675,896", "Jun 29, 2007"
"12", "The Simpsons Movie (Fox)", "/statistics/movies/the-simpsons-movie-2007", "$183,135,831", "$74,038,702", "$24,679,567", "Jul 27, 2007"
"13", "Wild Hogs (Disney)", "/statistics/movies/wild-hogs-2007", "$168,273,303", "$39,699,538", "$13,233,179", "Mar 02, 2007"
"14", "Knocked Up (Universal)", "/statistics/movies/knocked-up-2007", "$148,768,421", "$30,691,788", "$10,230,596", "Jun 01, 2007"
"15", "Juno (Fox Searchlight)", "/statistics/movies/juno-2007", "$143,495,248", "$10,634,821", "$3,544,940", "Dec 05, 2007"
"16", "Rush Hour 3 (New Line)", "/statistics/movies/rush-hour-3-2007", "$140,125,005", "$49,100,158", "$16,366,719", "Aug 10, 2007"
"17", "Live Free or Die Hard (Fox)", "/statistics/movies/live-free-or-die-hard-2007", "$134,529,431", "$33,369,011", "$11,123,004", "Jun 27, 2007"
"18", "Fantastic Four: Rise of the Silver Surfer (Fox)", "/statistics/movies/fantastic-four-rise-of-the-silver-surfer-2007", "$131,921,992", "$58,052,090", "$19,350,697", "Jun 15, 2007"
"19", "American Gangster (Universal)", "/statistics/movies/american-gangster-2007", "$130,164,472", "$43,565,115", "$14,521,705", "Nov 02, 2007"
"20", "Enchanted (Disney)", "/statistics/movies/enchanted-2007", "$127,807,274", "$34,439,829", "$11,479,943", "Nov 21, 2007"
"21", "Bee Movie (Paramount / DreamWorks)", "/statistics/movies/bee-movie-2007", "$126,631,177", "$38,021,674", "$12,673,891", "Nov 02, 2007"
"22", "Superbad (Sony / Columbia)", "/statistics/movies/superbad-2007", "$121,463,956", "$33,052,117", "$11,017,372", "Aug 17, 2007"
"23", "I Now Pronounce You Chuck and Larry (Universal)", "/statistics/movies/i-now-pronounce-you-chuck-and-larry-2007", "$120,059,537", "$34,234,505", "$11,411,502", "Jul 20, 2007"
"24", "Hairspray (2007) (New Line)", "/statistics/movies/hairspray-2007-2007", "$118,871,811", "$27,476,745", "$9,158,915", "Jul 20, 2007"
"25", "Blades of Glory (Paramount / DreamWorks)", "/statistics/movies/blades-of-glory-2007", "$118,594,798", "$33,012,853", "$11,004,284", "Mar 30, 2007"
"26", "Ocean's Thirteen (Warner Bros.)", "/statistics/movies/ocean-s-thirteen-2007", "$117,154,265", "$36,133,907", "$12,044,636", "Jun 08, 2007"
"27", "Ghost Rider (Sony / Columbia)", "/statistics/movies/ghost-rider-2007", "$115,802,007", "$45,389,414", "$15,129,805", "Feb 16, 2007"
"28", "Evan Almighty (Universal)", "/statistics/movies/evan-almighty-2007", "$100,462,174", "$31,191,628", "$10,397,209", "Jun 22, 2007"
"29", "Meet the Robinsons (Disney)", "/statistics/movies/meet-the-robinsons-2007", "$97,822,001", "$25,124,084", "$8,374,695", "Mar 30, 2007"
"30", "Norbit (Paramount / DreamWorks)", "/statistics/movies/norbit-2007", "$95,673,892", "$34,195,197", "$11,398,399", "Feb 09, 2007"
"31", "The Bucket List (Warner Bros.)", "/statistics/movies/the-bucket-list-2007", "$93,466,104", "$19,392,921", "$6,464,307", "Dec 25, 2007"
"32", "The Game Plan (Disney)", "/statistics/movies/the-game-plan-2007", "$90,648,399", "$22,951,574", "$7,650,525", "Sep 28, 2007"
"33", "Beowulf (Paramount)", "/statistics/movies/beowulf-2007", "$82,280,066", "$27,516,448", "$9,172,149", "Nov 16, 2007"
"34", "Bridge to Terabithia (Disney)", "/statistics/movies/bridge-to-terabithia-2007", "$82,272,124", "$22,562,692", "$7,520,897", "Feb 16, 2007"
"35", "Disturbia (Paramount / DreamWorks)", "/statistics/movies/disturbia-2007", "$80,209,993", "$22,223,689", "$7,407,896", "Apr 13, 2007"
"36", "No Country for Old Men (Miramax)", "/statistics/movies/no-country-for-old-men-2007", "$74,283,432", "$1,226,333", "$408,778", "Nov 09, 2007"
"37", "Fred Claus (Warner Bros.)", "/statistics/movies/fred-claus-2007", "$72,006,227", "$18,516,943", "$6,172,314", "Nov 09, 2007"
"38", "1408 (MGM / Weinstein)", "/statistics/movies/1408-2007", "$71,985,436", "$20,619,120", "$6,873,040", "Jun 22, 2007"
"39", "The Golden Compass (New Line)", "/statistics/movies/the-golden-compass-2007", "$70,107,979", "$25,783,232", "$8,594,411", "Dec 07, 2007"
"40", "Charlie Wilson's War (Universal)", "/statistics/movies/charlie-wilson-s-war-2007", "$66,661,218", "$9,657,359", "$3,219,120", "Dec 21, 2007"
"41", "Saw IV (Lionsgate)", "/statistics/movies/saw-iv-2007", "$63,300,109", "$31,756,957", "$10,585,652", "Oct 26, 2007"
"42", "Stomp the Yard (Sony / Screen Gems)", "/statistics/movies/stomp-the-yard-2007", "$61,356,593", "$21,833,806", "$7,277,935", "Jan 08, 2007"
"43", "Surf's Up (Sony / Columbia)", "/statistics/movies/surf-s-up-2007", "$58,867,222", "$17,639,190", "$5,879,730", "Jun 08, 2007"
"44", "Halloween (2007) (MGM / Weinstein)", "/statistics/movies/halloween-2007-2007", "$58,272,656", "$26,363,171", "$8,787,724", "Aug 31, 2007"
"45", "Tyler Perry's Why Did I Get Married? (Lionsgate)", "/statistics/movies/tyler-perry-s-why-did-i-get-married-2007", "$55,204,240", "$21,354,073", "$7,118,024", "Oct 12, 2007"
"46", "TMNT (Warner Bros.)", "/statistics/movies/tmnt-2007", "$54,149,098", "$24,255,202", "$8,085,067", "Mar 23, 2007"
"47", "P.S. I Love You (Warner Bros.)", "/statistics/movies/p-s-i-love-you-2007", "$53,695,330", "$6,480,554", "$2,160,185", "Dec 21, 2007"
"48", "3:10 to Yuma (2007) (Lionsgate)", "/statistics/movies/3-10-to-yuma-2007-2007", "$53,606,106", "$14,035,888", "$4,678,629", "Sep 07, 2007"
"49", "Sweeney Todd: The Demon Barber of Fleet Street (Paramount / DreamWorks)", "/statistics/movies/sweeney-todd-the-demon-barber-of-fleet-street-2007", "$52,898,292", "$9,301,201", "$3,100,400", "Dec 21, 2007"
"50", "Atonement (Focus)", "/statistics/movies/atonement-2007", "$50,927,326", "$783,864", "$261,288", "Dec 07, 2007"
"51", "Resident Evil: Extinction (Sony / Screen Gems)", "/statistics/movies/resident-evil-extinction-2007", "$50,648,159", "$23,679,360", "$7,893,120", "Sep 21, 2007"
"52", "Music and Lyrics (Warner Bros.)", "/statistics/movies/music-and-lyrics-2007", "$50,572,505", "$13,623,785", "$4,541,262", "Feb 14, 2007"
"53", "Are We Done Yet? (Sony / Columbia)", "/statistics/movies/are-we-done-yet-2007", "$49,662,485", "$14,262,318", "$4,754,106", "Apr 04, 2007"
"54", "This Christmas (Sony / Screen Gems)", "/statistics/movies/this-christmas-2007", "$49,121,270", "$17,959,155", "$5,986,385", "Nov 21, 2007"
"55", "Michael Clayton (Warner Bros.)", "/statistics/movies/michael-clayton-2007", "$49,033,277", "$718,527", "$239,509", "Oct 05, 2007"
"56", "Premonition (Sony / Columbia)", "/statistics/movies/premonition-2007", "$47,852,458", "$17,559,638", "$5,853,213", "Mar 16, 2007"
"57", "Dan in Real Life (Disney)", "/statistics/movies/dan-in-real-life-2007", "$47,642,279", "$11,808,762", "$3,936,254", "Oct 26, 2007"
"58", "The Kingdom (Universal)", "/statistics/movies/the-kingdom-2007", "$47,536,618", "$17,136,607", "$5,712,202", "Sep 28, 2007"
"59", "Shooter (Paramount)", "/statistics/movies/shooter-2007", "$47,003,958", "$14,523,255", "$4,841,085", "Mar 23, 2007"
"60", "License to Wed (Warner Bros.)", "/statistics/movies/license-to-wed-2007", "$43,799,312", "$10,422,811", "$3,474,270", "Jul 03, 2007"
"61", "Underdog (Disney)", "/statistics/movies/underdog-2007", "$43,760,161", "$11,584,604", "$3,861,535", "Aug 03, 2007"
"62", "No Reservations (Warner Bros.)", "/statistics/movies/no-reservations-2007", "$43,107,503", "$11,704,833", "$3,901,611", "Jul 27, 2007"
"63", "Because I Said So (Universal)", "/statistics/movies/because-i-said-so-2007", "$42,674,689", "$13,124,048", "$4,374,683", "Feb 02, 2007"
"64", "Aliens vs. Predator - Requiem (Fox)", "/statistics/movies/aliens-vs-predator-requiem-2007", "$41,797,544", "$10,058,993", "$3,352,998", "Dec 25, 2007"
"65", "The Water Horse: Legend of the Deep (Sony / Columbia)", "/statistics/movies/the-water-horse-legend-of-the-deep-2007", "$40,946,727", "$9,185,161", "$3,061,720", "Dec 25, 2007"
"66", "There Will Be Blood (Paramount Vantage)", "/statistics/movies/there-will-be-blood-2007", "$40,222,208", "$191,093", "$63,698", "Dec 26, 2007"
"67", "Epic Movie (Fox)", "/statistics/movies/epic-movie-2007", "$39,739,924", "$18,613,094", "$6,204,365", "Jan 26, 2007"
"68", "Hitman (Fox)", "/statistics/movies/hitman-2007", "$39,687,435", "$13,180,681", "$4,393,560", "Nov 21, 2007"
"69", "30 Days of Night (Sony / Columbia)", "/statistics/movies/30-days-of-night-2007", "$39,568,745", "$15,951,763", "$5,317,254", "Oct 19, 2007"
"70", "Fracture (New Line)", "/statistics/movies/fracture-2007", "$39,015,477", "$11,014,657", "$3,671,552", "Apr 20, 2007"
"71", "Stardust (Paramount)", "/statistics/movies/stardust-2007", "$38,634,862", "$9,170,926", "$3,056,975", "Aug 10, 2007"
"72", "The Brave One (Warner Bros.)", "/statistics/movies/the-brave-one-2007", "$36,793,852", "$13,471,522", "$4,490,507", "Sep 14, 2007"
"73", "The Heartbreak Kid (Paramount / DreamWorks)", "/statistics/movies/the-heartbreak-kid-2007", "$36,787,658", "$14,021,205", "$4,673,735", "Oct 05, 2007"
