#,movie,href,total gross,opening,opening daily avg,release date
"1","Spider-Man (Sony / Columbia)","/statistics/movies/spider-man-2002","$403,706,983","$114,843,788","$38,281,263","May 03, 2002"
"2","The Lord of the Rings: The Two Towers (New Line)","/statistics/movies/the-lord-of-the-rings-the-two-towers-2002","$342,550,877","$62,008,452","$20,669,484","Dec 18, 2002"
"3","Star Wars: Episode II - Attack of the Clones (Fox)","/statistics/movies/star-wars-episode-ii-attack-of-the-clones-2002","$310,676,344","$80,026,879","$26,675,626","May 16, 2002"
"4","Harry Potter and the Chamber of Secrets (Warner Bros.)","/statistics/movies/harry-potter-and-the-chamber-of-secrets-2002","$261,988,168","$88,357,778","$29,452,593","Nov 15, 2002"
"5","My Big Fat Greek Wedding (IFC Films)","/statistics/movies/my-big-fat-greek-wedding-2002","$241,438,568","$597,362","$199,121","Apr 19, 2002"
"6","Signs (Disney)","/statistics/movies/signs-2002","$227,966,979","$60,116,619","$20,038,873","Aug 02, 2002"
"7","Austin Powers in Goldmember (New Line)","/statistics/movies/austin-powers-in-goldmember-2002","$213,243,496","$73,072,142","$24,357,381","Jul 26, 2002"
"8","Men in Black II (Sony / Columbia)","/statistics/movies/men-in-black-ii-2002","$190,418,608","$52,149,732","$17,383,244","Jul 03, 2002"
"9","Ice Age (Fox)","/statistics/movies/ice-age-2002","$176,387,755","$46,311,390","$15,437,130","Mar 15, 2002"
"10","Chicago (Miramax)","/statistics/movies/chicago-2002","$170,687,336","$2,075,185","$691,728","Dec 27, 2002"
"11","Catch Me If You Can (2002) (DreamWorks)","/statistics/movies/catch-me-if-you-can-2002","$164,615,455","$30,054,170","$10,018,057","Dec 25, 2002"
"12","Die Another Day (MGM)","/statistics/movies/die-another-day-2002","$160,942,810","$47,070,738","$15,690,246","Nov 22, 2002"
"13","Scooby-Doo (Warner Bros.)","/statistics/movies/scooby-doo-2002","$153,294,080","$54,154,815","$18,051,605","Jun 14, 2002"
"14","Lilo & Stitch (Disney)","/statistics/movies/lilo-stitch-2002","$145,783,422","$35,259,643","$11,753,214","Jun 21, 2002"
"15","XXX (Sony / Columbia)","/statistics/movies/xxx-2002","$142,109,000","$44,505,796","$14,835,265","Aug 09, 2002"
"16","The Santa Clause 2 (Disney)","/statistics/movies/the-santa-clause-2-2002","$139,236,262","$29,008,005","$9,669,335","Nov 01, 2002"
"17","Minority Report (Fox)","/statistics/movies/minority-report-2002","$132,072,987","$35,678,092","$11,892,697","Jun 21, 2002"
"18","The Ring (DreamWorks)","/statistics/movies/the-ring-2002","$129,128,681","$15,016,182","$5,005,394","Oct 18, 2002"
